Algoritmo,Instancia,Seed,Distancia,Tiempo
AG,berlin52,1525143886,13135.06,2.5335
AG,berlin52,693734817,12499.43,2.4898
AG,berlin52,280934625,13956.03,2.4609
AG,berlin52,539691841,13130.9,2.4756
AG,berlin52,940040624,11962.17,2.5786
AG,berlin52,295000275,12167.87,2.474
AG,berlin52,1967218727,13694.07,2.4104
AG,berlin52,1365311811,12783.55,2.4459
AG,berlin52,1234016428,13976.71,2.4601
AG,berlin52,1058940145,15657.43,2.44
AG,berlin52,1444338839,14083.31,2.4348
AG,berlin52,89213196,13142.95,2.4523
AG,berlin52,9245251,13378.08,2.4667
AG,berlin52,1972613806,12593.64,2.474
AG,berlin52,2146054006,13717.39,2.4553
AG,berlin52,222662273,14673.52,2.4489
AG,berlin52,410118181,13672.87,2.4399
AG,berlin52,2097157485,13258.36,2.4542
AG,berlin52,58228070,12696.23,2.4503
AG,berlin52,689927659,13755.91,2.4723
AG,berlin52,998085368,14804.97,2.5402
AG,berlin52,1215640328,13134.38,2.45
AG,berlin52,945673352,12976.53,2.5185
AG,berlin52,2008390773,14393.18,2.5387
AG,berlin52,930671312,14685.96,2.5495
AG,berlin52,1523064233,11953.63,2.5159
AG,berlin52,1495645456,12553.99,2.5302
AG,berlin52,1096410714,13689.25,2.5271
AG,berlin52,238953159,13721.12,2.5632
AG,berlin52,81347385,12816.84,2.5657
RS,berlin52,1525143886,11757.88,0.0311
RS,berlin52,693734817,11326.51,0.0313
RS,berlin52,280934625,12157.88,0.0312
RS,berlin52,539691841,11528.78,0.0303
RS,berlin52,940040624,12244.88,0.0304
RS,berlin52,295000275,12056.17,0.0311
RS,berlin52,1967218727,11769.09,0.0314
RS,berlin52,1365311811,10580.46,0.0312
RS,berlin52,1234016428,11955.44,0.0316
RS,berlin52,1058940145,11351.55,0.0312
RS,berlin52,1444338839,10761.67,0.0314
RS,berlin52,89213196,11346.86,0.0365
RS,berlin52,9245251,13240.32,0.0311
RS,berlin52,1972613806,11550.42,0.0308
RS,berlin52,2146054006,10817.89,0.0307
RS,berlin52,222662273,11796.89,0.0306
RS,berlin52,410118181,10706.97,0.0305
RS,berlin52,2097157485,11654.23,0.0305
RS,berlin52,58228070,11638.41,0.0307
RS,berlin52,689927659,11904.89,0.0308
RS,berlin52,998085368,11363.67,0.0309
RS,berlin52,1215640328,12372.49,0.031
RS,berlin52,945673352,11497.19,0.0318
RS,berlin52,2008390773,12465.51,0.031
RS,berlin52,930671312,12834.9,0.031
RS,berlin52,1523064233,13819.2,0.0301
RS,berlin52,1495645456,12420.24,0.0311
RS,berlin52,1096410714,10723.93,0.0313
RS,berlin52,238953159,12037.19,0.0318
RS,berlin52,81347385,11467.35,0.0321
Hibrido,berlin52,1525143886,11232.11,1.7144
Hibrido,berlin52,693734817,11827.08,1.6981
Hibrido,berlin52,280934625,11785.58,1.6847
Hibrido,berlin52,539691841,10698.56,1.7134
Hibrido,berlin52,940040624,12603.08,1.7087
Hibrido,berlin52,295000275,11147.82,1.7522
Hibrido,berlin52,1967218727,11676.45,1.6741
Hibrido,berlin52,1365311811,10993.12,1.697
Hibrido,berlin52,1234016428,11199.54,1.7166
Hibrido,berlin52,1058940145,10889.04,1.6733
Hibrido,berlin52,1444338839,10626.48,1.7125
Hibrido,berlin52,89213196,11768.01,1.7021
Hibrido,berlin52,9245251,12326.24,1.712
Hibrido,berlin52,1972613806,11679.39,1.668
Hibrido,berlin52,2146054006,11451.54,1.6501
Hibrido,berlin52,222662273,11636.1,1.6997
Hibrido,berlin52,410118181,11071.61,1.7096
Hibrido,berlin52,2097157485,11519.19,1.6924
Hibrido,berlin52,58228070,12318.69,1.6856
Hibrido,berlin52,689927659,12271.49,1.7036
Hibrido,berlin52,998085368,11258.59,1.7516
Hibrido,berlin52,1215640328,11243.02,1.679
Hibrido,berlin52,945673352,11403.58,1.6834
Hibrido,berlin52,2008390773,10976.96,1.6758
Hibrido,berlin52,930671312,12671.28,1.6832
Hibrido,berlin52,1523064233,11735.17,1.7083
Hibrido,berlin52,1495645456,11411.98,1.6672
Hibrido,berlin52,1096410714,11347.86,1.728
Hibrido,berlin52,238953159,10825.01,1.7012
Hibrido,berlin52,81347385,11647.97,1.7007
AG,eil101,1525143886,1795.65,6.8853
AG,eil101,693734817,1673.61,6.8371
AG,eil101,280934625,1821.8,6.7709
AG,eil101,539691841,1809.97,6.8357
AG,eil101,940040624,1776.9,6.9554
AG,eil101,295000275,1575.61,6.9353
AG,eil101,1967218727,1749.48,6.8954
AG,eil101,1365311811,1626.09,6.8862
AG,eil101,1234016428,1625.04,6.817
AG,eil101,1058940145,1683.41,6.7484
AG,eil101,1444338839,1559.36,6.8703
AG,eil101,89213196,1723.44,6.7857
AG,eil101,9245251,1821.35,6.914
AG,eil101,1972613806,1615.63,6.7665
AG,eil101,2146054006,1680.88,6.7976
AG,eil101,222662273,1707.61,6.8203
AG,eil101,410118181,1718.26,6.8031
AG,eil101,2097157485,1591.81,6.7979
AG,eil101,58228070,1717.25,6.8399
AG,eil101,689927659,1681.05,6.9983
AG,eil101,998085368,1647.29,6.8201
AG,eil101,1215640328,1596.93,6.8079
AG,eil101,945673352,1616.62,6.8245
AG,eil101,2008390773,1718.78,6.94
AG,eil101,930671312,1770.94,6.8695
AG,eil101,1523064233,1758.06,6.8945
AG,eil101,1495645456,1576.38,6.8138
AG,eil101,1096410714,1638.78,7.2898
AG,eil101,238953159,1639.07,6.9131
AG,eil101,81347385,1656.27,6.809
RS,eil101,1525143886,1540.08,0.0526
RS,eil101,693734817,1498.43,0.053
RS,eil101,280934625,1385.67,0.0536
RS,eil101,539691841,1601.53,0.0531
RS,eil101,940040624,1449.51,0.0536
RS,eil101,295000275,1503.46,0.0522
RS,eil101,1967218727,1375.63,0.052
RS,eil101,1365311811,1285.37,0.0525
RS,eil101,1234016428,1395.0,0.0527
RS,eil101,1058940145,1397.32,0.0521
RS,eil101,1444338839,1498.5,0.0522
RS,eil101,89213196,1413.72,0.0518
RS,eil101,9245251,1353.07,0.0513
RS,eil101,1972613806,1407.84,0.0511
RS,eil101,2146054006,1441.43,0.0515
RS,eil101,222662273,1452.75,0.0512
RS,eil101,410118181,1395.55,0.0523
RS,eil101,2097157485,1496.79,0.0518
RS,eil101,58228070,1383.85,0.052
RS,eil101,689927659,1536.62,0.052
RS,eil101,998085368,1373.29,0.0514
RS,eil101,1215640328,1312.47,0.0525
RS,eil101,945673352,1292.45,0.052
RS,eil101,2008390773,1372.4,0.0522
RS,eil101,930671312,1398.02,0.0515
RS,eil101,1523064233,1370.56,0.0522
RS,eil101,1495645456,1341.58,0.0531
RS,eil101,1096410714,1372.46,0.0519
RS,eil101,238953159,1316.28,0.0535
RS,eil101,81347385,1573.59,0.0538
Hibrido,eil101,1525143886,1720.72,5.3451
Hibrido,eil101,693734817,1888.16,5.2245
Hibrido,eil101,280934625,1921.43,5.2798
Hibrido,eil101,539691841,1767.11,5.368
Hibrido,eil101,940040624,1794.19,5.4747
Hibrido,eil101,295000275,1751.96,5.4757
Hibrido,eil101,1967218727,1786.23,5.3604
Hibrido,eil101,1365311811,1624.23,5.5515
Hibrido,eil101,1234016428,1783.78,5.601
Hibrido,eil101,1058940145,1652.93,5.5775
Hibrido,eil101,1444338839,1884.34,5.4864
Hibrido,eil101,89213196,1781.63,5.5284
Hibrido,eil101,9245251,1693.41,5.4721
Hibrido,eil101,1972613806,1716.88,5.4906
Hibrido,eil101,2146054006,1785.73,5.5753
Hibrido,eil101,222662273,1916.82,5.4942
Hibrido,eil101,410118181,1733.72,5.4983
Hibrido,eil101,2097157485,1840.94,5.647
Hibrido,eil101,58228070,1835.49,5.5305
Hibrido,eil101,689927659,1853.56,5.5021
Hibrido,eil101,998085368,1824.31,5.5391
Hibrido,eil101,1215640328,1690.79,5.3239
Hibrido,eil101,945673352,1768.65,5.4445
Hibrido,eil101,2008390773,1684.94,5.4069
